,lat,lon,pred
0,-6.02649,105.94505,0.00473
1,-6.03084,105.94614,0.00927
2,-6.24962,106.35295,0.00334
3,-6.13860,106.08756,0.97551
4,-6.21931,106.36589,0.14221
5,-6.03663,106.39828,0.00000
6,-6.00758,106.02350,0.00000
7,-6.04966,106.42153,0.00000
8,-5.99130,106.33549,0.00000
9,-5.98505,106.29260,0.04073
10,-6.00885,106.02025,0.00000
11,-6.06269,106.02242,0.44640
12,-6.13905,106.08702,0.56811
13,-5.97320,106.30934,0.00000
14,-6.00912,106.11507,0.00815
15,-5.98225,106.29305,0.00000
16,-6.01591,106.38552,0.00000
17,-6.04712,106.41511,0.00000
18,-6.05599,106.42723,0.04730
19,-5.97763,106.31078,0.00010
20,-6.06350,106.36770,0.05076
21,-6.05690,106.05780,0.44348
22,-5.98189,106.29395,0.00000
23,-6.12430,106.61743,0.00081
24,-6.28473,106.72782,0.00000
25,-6.13960,106.61869,0.00490
26,-6.12458,106.66855,0.00002
27,-6.14059,106.61634,0.00833
28,-6.25813,106.49763,0.00070
29,-6.03735,106.66231,0.08985
30,-6.07391,106.67751,0.16674
31,-6.03581,106.66575,0.01899
32,-6.14937,106.51003,0.76598
33,-6.03364,106.66991,0.00021
34,-6.25369,106.88245,0.00039
35,-6.15018,106.72827,0.01414
36,-6.03446,106.67172,0.00072
37,-6.16167,107.03102,0.62059
38,-6.16638,106.92588,0.00978
39,-6.25885,107.14476,0.00910
40,-5.99790,107.06269,0.00059
41,-6.10187,106.94181,0.00000
42,-6.19950,106.99248,0.00287
43,-6.01980,107.06025,0.02894
44,-6.26681,107.09164,0.00000
45,-6.01645,107.05654,0.01902
46,-5.99890,107.06740,0.00447
47,-6.27894,107.14051,0.00007
48,-6.01663,107.04876,0.00000
49,-6.26310,107.12739,0.00692
50,-6.00396,107.07219,0.00187
51,-6.01328,107.06703,0.03039
52,-6.01754,107.05998,0.00768
53,-6.01726,107.06541,0.02359
54,-6.01211,107.06821,0.00078
55,-6.00532,107.07210,0.01879
56,-5.99917,107.06613,0.00142
57,-6.11499,107.05048,0.00022
58,-6.25912,107.04604,0.00211
59,-6.20538,107.03365,0.94516
60,-6.00342,107.06703,0.01057
61,-6.00903,107.05165,0.00001
62,-5.98107,107.09318,0.03185
63,-6.08911,107.01455,0.00195
64,-5.99853,107.06785,0.00066
65,-6.01726,107.05672,0.01831
66,-6.25460,107.64422,0.00768
67,-6.25161,107.64141,0.01563
68,-6.20845,107.62522,0.01592
69,-6.20936,107.62612,0.00034
70,-6.20601,107.62549,0.00066
71,-6.25397,107.64350,0.01819
72,-6.25406,107.65399,0.00245
73,-6.24808,107.64639,0.01596
74,-6.19931,107.87784,0.39409
75,-6.40552,105.87936,0.97126
76,-6.31287,106.13163,0.99921
77,-6.33395,106.11118,0.45929
78,-6.66991,106.43755,0.36338
79,-6.72230,106.81477,0.00000
80,-6.36752,106.89005,0.00114
81,-6.35241,106.83639,0.00002
82,-6.32508,106.65995,0.24620
83,-6.59463,106.86019,0.00024
84,-6.71597,106.71243,0.00115
85,-6.49537,106.83341,0.00046
86,-6.49447,106.83341,0.00000
87,-6.59644,106.47691,0.00791
88,-6.60133,106.80744,0.00000
89,-6.68937,106.89657,0.77198
90,-6.54921,106.53482,0.58222
91,-6.37060,106.77794,0.44583
92,-6.65055,106.80047,0.58568
93,-6.71814,106.71334,0.00000
94,-6.42181,106.78790,0.92976
95,-6.56577,106.64294,0.35057
96,-6.42190,106.73180,0.02725
97,-6.70882,106.88200,0.03223
98,-6.32463,106.65887,0.50861
99,-6.35775,106.85485,0.19191
100,-6.38526,107.34771,0.00000
101,-6.35558,106.99772,0.72060
102,-6.37186,107.30491,0.00003
103,-6.30807,107.12060,0.00001
104,-6.38173,106.96633,0.17745
105,-6.30952,107.12368,0.00000
106,-6.30771,107.11988,0.00001
107,-6.34879,106.99763,0.30941
108,-6.34490,106.99601,0.68654
109,-6.71841,107.07979,0.01622
110,-6.32617,107.17914,0.00000
111,-6.40498,107.32934,0.00065
112,-6.30934,107.12304,0.00000
113,-6.35693,106.99917,0.47417
114,-6.34599,107.00162,0.26401
115,-6.37458,107.33902,0.00094
116,-6.35295,107.00279,0.90210
117,-6.39023,107.19814,0.33589
118,-6.38815,107.32418,0.00000
119,-6.44624,106.93439,0.97833
120,-6.71968,107.06785,0.03729
121,-6.35675,107.00017,0.65546
122,-6.70773,107.03808,0.03400
123,-6.70982,107.05183,0.01573
124,-6.71751,107.05636,0.00999
125,-6.32943,107.05238,0.64769
126,-6.35485,107.00134,0.90571
127,-6.37331,106.97890,0.00001
128,-6.43964,107.00433,0.07682
129,-6.69760,106.95628,0.02594
130,-6.38951,107.16258,0.37692
131,-6.69805,106.97103,0.00001
132,-6.38589,107.31134,0.11805
133,-6.40733,107.32889,0.00044
134,-6.38897,107.21606,0.02922
135,-6.71742,107.05536,0.07433
136,-6.55853,107.12033,0.05001
137,-6.34952,107.02025,0.92627
138,-6.34997,107.14530,0.00000
139,-6.32852,107.08902,0.00000
140,-6.71289,107.07681,0.00424
141,-6.70810,106.92706,0.00404
142,-6.31160,107.11635,0.00000
143,-6.34463,107.00433,0.03202
144,-6.59029,107.74049,0.89453
145,-6.71253,107.51284,0.01561
146,-6.43059,107.44869,0.71014
147,-6.49329,107.59916,0.00000
148,-6.49411,107.59898,0.00009
149,-6.63164,107.63146,0.00003
150,-6.44434,107.45593,0.00000
151,-6.65399,107.56785,0.09520
152,-6.40688,107.37694,0.00000
153,-6.33793,108.20602,0.10860
154,-6.55799,107.83505,0.00000
155,-6.34001,108.30058,0.89677
156,-6.34047,108.29877,0.98005
157,-6.54622,108.52253,0.00002
158,-6.56975,108.31659,0.00000
159,-6.52921,108.52271,0.01191
160,-6.55753,108.52977,0.00014
161,-6.69706,108.44779,0.30358
162,-6.52143,110.74486,0.99431
163,-6.70647,110.72197,0.96265
164,-6.68113,110.64470,0.00001
165,-6.73343,110.61937,0.00000
166,-6.67199,110.64714,0.00000
167,-6.45628,110.72143,0.00004
168,-6.65480,110.65158,0.00037
169,-6.67037,110.64533,0.00000
170,-6.65507,110.65293,0.19173
171,-6.67227,110.64796,0.00021
172,-6.65969,110.65230,0.00036
173,-6.73904,110.61584,0.00000
174,-6.71678,110.84593,0.27561
175,-6.55220,110.68867,0.00000
176,-6.60160,110.99116,0.99974
177,-6.70411,111.30603,0.00088
178,-6.73651,111.09213,0.00000
179,-6.54025,111.05377,0.00261
180,-6.69968,111.57214,0.00506
181,-6.69932,111.57269,0.00115
182,-6.93059,106.77867,0.00004
183,-6.92978,106.77912,0.00000
184,-6.97429,106.86634,0.08728
185,-6.88680,106.77849,0.01677
