,geometry,id,Soil Clay Fraction,Elevation,Drainage Direction,Upstream Drainage Area (km^2),Height Above Nearest Drainage (m),Landform Type,Soil Sand Fraction,Slope (degrees),Fine Earth Density (kg / m^3),Soil Great Group,Distance to Waterway (m),Nearest Water Type,place_name,Population - 1 km,Population - 5 km,Population - 10 km
0,POINT (19.26436782643666 41.99991023536795),8f1ef277170da18,0.28,111,southeast,0.006380848586559296,19.0,Lower slope,0.34,13.556573525645977,132,9,51.83981952727623,river,"M-1, Gornja Klezna - Kllezna e Epërme, Ulcinj Municipality, 85366, Montenegro",146,2997,17116
1,POINT (19.48177007027864 40.37700957654936),8f1ed6320586083,0.28,11,southwest,0.006539234891533852,11.5,Lower slope (warm),0.39,4.334489202163258,131,2,256.57626524967577,coastline,"Radhimë, Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania",119,1330,35747
2,POINT (19.48910326050035 41.32157373232932),8f1ed4ceb8f37ad,0.22,-1,southeast,0.509348452091217,0.0,Valley,0.37,1.0295397324159712,138,1,903.6908542340259,canal,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania",12461,121325,174748
3,POINT (19.49271796014677 40.42437670703406),8f1ed6a8b113d10,0.28,49,northwest,0.08495187014341354,35.80000305175781,Lower slope,0.41,8.273554768470396,108,1,328.66634566240947,coastline,"Dhimiter Konomi, Uji i Ftohtë (Vlorë), Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania",2275,35123,77403
4,POINT (19.65482878885985 40.7450804091124),8f1ed6b4117411a,0.26,10,north,0.006503737065941095,0.6999998092651367,Lower slope (flat),0.29,0.6183032897835913,159,1,266.4549765700009,canal,"Kuman, Bashkia Roskovec, Fier County, Southern Albania, 9315, Albania",769,11273,94484
5,POINT (19.96445646744355 40.69306286623674),8f1ed46d6633419,0.26,48,south,0.019526079297065735,5.899997711181641,Lower slope,0.34,2.0254836462055876,145,4,43.21657582746635,river,"Rruga Shëtitorja Osumi, Mangalem, Berat, Berat County, Southern Albania, 5001, Albania",5394,34629,40776
6,POINT (19.69268967058991 40.99815630358029),8f1ed444852468d,0.28,38,southwest,0.006479189265519381,12.0,Valley,0.33,4.490151338287889,152,1,771.9905156419021,lake,"Dushk, Bashkia Lushnjë, Fier County, Southern Albania, 9010, Albania",239,8459,57248
7,POINT (19.61642299461894 40.56734563994896),8f1ed6a0ba0bd2d,0.28,114,northeast,0.006520864088088274,74.0999984741211,Peak/ridge,0.34,8.026441003729383,151,0,382.2600852302002,canal,"Cakran, Bashkia Fier, Fier County, Southern Albania, 9311, Albania",310,7102,16989
8,POINT (19.97514204961805 41.36595219508542),8f1ed41586a1221,0.23,894,southwest,0.038658805191516876,318.70001220703125,Upper slope (warm),0.38,18.31062273426488,134,8,651.4704850936505,lake,"SH54, Dajt, Tirana Municipality, Tirana County, Central Albania, 1040, Albania",70,2465,55739
9,POINT (19.67769701523824 40.88569980668343),8f1ed47b3b88556,0.3,8,north,0.01298028975725174,0.8999996185302734,Lower slope (flat),0.29,0.8178159615728531,160,0,1259.658573258342,ditch,"Mobileri Bali, SH4, Lushnjë, Bashkia Lushnjë, Fier County, Southern Albania, 9001, Albania",597,13291,53189
10,POINT (19.47304823728615 40.32996329791903),8f1ed630699a89d,0.22,3,west,0.1897788643836975,3.200000047683716,Lower slope,0.39,1.5294950476415967,140,3,449.72349550229075,stream,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania",1149,2417,3721
11,POINT (19.56925714079997 41.17344812101246),8f1ed456a0d86d9,0.28,22,southwest,0.025848088786005974,5.0,Lower slope,0.3,1.0280563357509909,157,0,921.1505947172454,stream,"Shëtitorja Indrit Cara, Kavajë, Bashkia Kavajë, Tirana County, Central Albania, 2501, Albania",4713,21687,32410
12,POINT (19.80798381809604 41.34547607421302),8f1ed40266ea121,0.25,101,northeast,0.006445332430303097,9.300003051757812,Lower slope (flat),0.33,1.3031950518861124,150,0,619.7120668269994,river,"Rruga Sejdini, Njësia Bashkiake Nr. 9, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania",32817,563367,763763
13,POINT (19.63218803626074 41.38622597846796),8f1ed41a595d0d3,0.25,38,northwest,0.8953731656074524,0.0,Lower slope,0.31,1.8995036243095327,149,0,281.3520027908297,stream,"Vore-Marikaj, Zona indistruale Marikaj, Marikaj, Vorë, Bashkia Vorë, Tirana County, Central Albania, 1032, Albania",593,14354,116461
14,POINT (19.66300522459816 40.76517072261801),8f1ed6b6ac62954,0.29,12,northeast,0.0065018245950341225,0.5999994277954102,Valley,0.29,0.6183032897809555,159,0,188.8167019771454,water,"Roskovec, Bashkia Roskovec, Fier County, Southern Albania, 9306, Albania",456,11565,76512
15,POINT (20.03437649065241 39.84368043412712),8f1ed049e33318e,0.3,4,northwest,0.013180099427700043,2.0999999046325684,Lower slope (warm),0.3,6.01622810699258,140,3,339.5037091329704,river,"Çukë, Sarandë, Bashkia Sarandë, Vlorë County, Southern Albania, 9701, Albania",2511,18936,30676
16,POINT (20.06291334950425 41.094329239365),8f1ed4765720d8c,0.24,99,southeast,0.006469885352998972,4.100006103515625,Lower slope (flat),0.32,0.6183032897835913,148,1,23.90723972797571,river,"Kusarth, Elbasan, Elbasan municipality, Elbasan County, Central Albania, 3001-3006, Albania",4442,80813,101363
17,POINT (19.85632774628571 41.33405887239175),8f1ed40233850cc,0.22,148,southwest,0.00644649239256978,4.9000091552734375,Valley,0.36,2.4717746108297525,149,0,131.97998373747072,river,"Rruga Gjergj Qiriazi, Poligrafiku, Njësia Bashkiake Nr. 1, Shkozë, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania",29615,394150,705042
18,POINT (19.43844808908653 40.4876675487635),8f1ed6aaad0eb5a,0.22,0,west,0.03917073830962181,1.100000023841858,Valley,0.44,0.869739939910369,125,1,232.1907207833309,coastline,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania",232,42681,77467
19,POINT (19.65489922694851 40.74687658037318),8f1ed6b418c395a,0.26,10,northwest,0.7869757413864136,0.0,Lower slope (flat),0.29,1.0238336740745244,159,1,122.49131460767083,canal,"Mbrostar Ura, Bashkia Fier, Fier County, Southern Albania, 9317, Albania",675,11276,94652
