,iso,coords,id
0,PHL,"[10.71287268388245, 124.94726617709786]",8f68458f5cb63a8
1,DOM,"[19.219715368053937, -70.03666696836468]",8f4cd4822008046
2,IND,"[9.943846627981888, 77.43795959047948]",8f603571132eb30
3,PHL,"[9.311293678745763, 123.26156373957501]",8f6846d4c66cb86
4,PHL,"[6.020877136953185, 120.98859050171609]",8f68e59b6d140c6
5,PHL,"[13.714233512085405, 123.0287892702548]",8f694b42d2958a9
6,PHL,"[6.581943028426484, 125.41033130802609]",8f6858c0d0a5805
7,IND,"[23.716642573559756, 72.53198052662745]",8f42cca9066598e
8,CHN,"[22.65002914896823, 110.10820565908013]",8f4025860d04b89
9,PHL,"[11.121553558728577, 124.58029327179104]",8f68633917610e3
10,IDN,"[-7.145358013955628, 107.88867944377941]",8f8c1450936bd73
11,PHL,"[14.163374014017592, 121.22341391631424]",8f694e4e4106583
12,TUR,"[38.666107630149185, 26.905528298218513]",8f3f644d184374a
13,PHL,"[14.346612391513752, 121.02043358876885]",8f694e52251184c
14,PHL,"[14.769602565481916, 121.0178675441576]",8f694ed62d322f2
15,IND,"[22.929934575565635, 78.77987952354162]",8f3d9e28468d690
16,PHL,"[13.543500497472351, 123.37251193330633]",8f694b6138e13ad
17,IND,"[10.714817546550703, 77.88971951387998]",8f60301126b21ad
18,PHL,"[14.84480796663467, 120.33153842392643]",8f69414b2b64aae
19,MMR,"[14.106726857301558, 98.19813087570348]",8f6412799465cb3
20,PHL,"[7.414118084881708, 125.7712830011804]",8f685d5230da51d
21,CHN,"[23.256116643010195, 112.79883712581983]",8f4119d09a6d005
22,IND,"[22.454824113761333, 70.02560390010986]",8f42c0cda144741
23,BRA,"[-6.921719750529808, -34.895373724069664]",8f819d98488e612
24,CHN,"[23.181255172769106, 112.97512796334122]",8f411d698b01240
25,IDN,"[-5.341015981475318, 104.93791910338241]",8f8cadacb4c6718
26,NGA,"[6.462852916865113, 3.32039423905685]",8f58826cb798850
27,IND,"[23.352509984800374, 74.99707318801971]",8f42c92d04d554c
28,CHN,"[27.40749577456478, 109.95673060245672]",8f40029b4055106
29,IND,"[9.344679803188441, 78.86265474818778]",8f611a2c6d6c723
30,KHM,"[13.275157730129012, 102.62098530054566]",8f659dbb689bd23
31,IND,"[28.319229311242538, 74.94934039435614]",8f3da4446642a21
32,MMR,"[16.4105234138991, 95.87922693653424]",8f64ab4740403b1
33,IND,"[16.677483229975323, 81.10910902855615]",8f619a8e8cd6028
34,PHL,"[18.129550428693307, 120.67444516909762]",8f696c013db358d
35,NGA,"[4.935263590921929, 6.964023349226584]",8f82dab44591170
36,BRA,"[-8.662108632015965, -36.022016922387266]",8f81819ad346c8c
37,CHN,"[23.682340778538176, 117.45258339818083]",8f41166b36abd6e
38,IND,"[16.704888018542288, 77.1170128555288]",8f60a319b56d519
39,VNM,"[9.696041205995105, 106.49119562897428]",8f65a662eda92d0
40,THA,"[8.186650055212887, 99.8525671457051]",8f6434b65b50768
41,TUR,"[36.782408777900706, 27.776526932432695]",8f3f622c890ba53
42,MYS,"[2.682005722076064, 111.47707179654189]",8f699b881a22b12
43,PHL,"[14.969010952680105, 120.13300035400093]",8f69402e3a30d2a
44,CHN,"[29.45358434343901, 119.27706435361902]",8f4190c092f3a26
45,PHL,"[14.361310663477854, 120.82813618381299]",8f694335d0a2798
46,NGA,"[6.555614245009594, 3.287573764510285]",8f58826ec343cc5
47,NGA,"[6.672817282269073, 3.150458672622043]",8f58826200a3125
48,THA,"[8.362285555379984, 99.50179585779694]",8f6435d08d99142
49,CHN,"[31.823611415228903, 119.8876033337562]",8f309c4e532b6cb
50,NGA,"[6.489941091359339, 3.39115741934717]",8f589c98214b588
51,IDN,"[-3.392655586555265, 102.50545025519061]",8f8cf06f2920aa3
52,CHN,"[24.07885278193403, 115.31355244540372]",8f411328536a859
53,GTM,"[14.840003031559425, -89.5290426700077]",8f452510d99e800
54,CHN,"[30.718664960895712, 114.42128301347384]",8f40a68b630b500
55,CHN,"[27.823365880644275, 114.64934679997577]",8f418c6702dac9e
56,THA,"[13.295540374430322, 101.2117221145059]",8f658a0495a8071
57,CHN,"[22.807016728416976, 113.70696598102788]",8f411c2707684d9
58,IND,"[21.501176323239644, 86.93988342490941]",8f3c8890c533458
59,IDN,"[0.85238481343575, 127.32670054681535]",8f7390da26d389d
60,IND,"[21.791235000753517, 70.21870035468841]",8f42c2146d43646
61,DZA,"[36.7834725835474, 6.66402769480345]",8f3862c43b8a866
62,CHN,"[28.277225955133844, 117.44477581820875]",8f4182ba66ad6ee
63,PHL,"[14.762524890818186, 121.13962031083662]",8f694e8b29b6269
64,MMR,"[20.18759056039591, 94.9948740734524]",8f3cdbadcc23c2e
65,IND,"[22.496362785060068, 73.4835756753637]",8f42cab439852a4
66,PHL,"[6.646334167018662, 124.66811410447218]",8f685e85a1b6a42
67,IND,"[27.579284006305212, 78.62957499936222]",8f3dae640102362
68,IDN,"[-8.670584599580495, 115.4592564587069]",8f95a413330ac89
69,IND,"[32.12741804651424, 75.46919809151488]",8f3d32ab45950a4
70,IND,"[29.035739518861632, 77.05928298428562]",8f3d124b53a2d08
71,IND,"[16.99252661680027, 76.77586329835198]",8f60a36180ca64d
72,IDN,"[-6.12898785633848, 106.87154549118549]",8f8c12b68295cb1
73,DOM,"[19.516183560589262, -71.68404786852511]",8f4c8b94154ba61
74,MYS,"[5.545917782081215, 100.52947180565869]",8f651d89a703089
75,CHN,"[39.07966969299027, 117.65797551106185]",8f318d5a60e8cf2
76,THA,"[9.761696256775997, 99.12036597583594]",8f64300cd794b13
